148, -12011, 24504.0423, 151.282930
149, -11226, 24502.5464, 151.273694
150, -10192, 24501.0504, 151.264458
151, -8895, 24499.5544, 151.255222
152, -7326, 24498.0585, 151.245987
153, -5480, 24496.5625, 151.236751
154, -3356, 24495.0666, 151.227515
155, -955, 24493.5706, 151.218279
156, 1715, 24492.0746, 151.209044
157, 4647, 24490.5787, 151.199808
158, 7830, 24489.0827, 151.190572
159, 11251, 24487.5868, 151.181336
160, 14896, 24486.0908, 151.172101
161, 18751, 24484.5948, 151.162865
162, 22801, 24483.0989, 151.153629
163, 27031, 24481.6029, 151.144393
164, 31426, 24480.1070, 151.135158
165, 35973, 24478.6110, 151.125922
166, 40659, 24477.1150, 151.116686
167, 45472, 24475.6191, 151.107450
168, 50399, 24474.1231, 151.098215
169, 55432, 24472.6272, 151.088979
170, 60560, 24471.1312, 151.079743
171, 65773, 24469.6352, 151.070507
172, 71062, 24468.1393, 151.061272
173, 76418, 24466.6433, 151.052036
174, 81830, 24465.1474, 151.042800
175, 87287, 24463.6514, 151.033565
176, 92775, 24462.1554, 151.024329
177, 98280, 24460.6595, 151.015093
178, 103785, 24459.1635, 151.005857
179, 109269, 24457.6676, 150.996622
180, 114712, 24456.1716, 150.987386
181, 120086, 24454.6756, 150.978150
182, 125366, 24453.1797, 150.968914
183, 130518, 24451.6837, 150.959679
184, 135510, 24450.1878, 150.950443
185, 140305, 24448.6918, 150.941207
186, 144865, 24447.1958, 150.931971
187, 149148, 24445.6999, 150.922736
188, 153115, 24444.2039, 150.913500
189, 156722, 24442.7080, 150.904264
190, 159926, 24441.2120, 150.895028
191, 162687, 24439.7160, 150.885793
192, 164964, 24438.2201, 150.876557
193, 166720, 24436.7241, 150.867321
194, 167919, 24435.2282, 150.858085
195, 168530, 24433.7322, 150.848850
196, 168526, 24432.2362, 150.839614
197, 167886, 24430.7403, 150.830378
198, 166593, 24429.2443, 150.821142
199, 164636, 24427.7484, 150.811907
200, 162013, 24426.2524, 150.802671
201, 158726, 24424.7564, 150.793435
202, 154786, 24423.2605, 150.784199
203, 150208, 24421.7645, 150.774964
204, 145018, 24420.2686, 150.765728
205, 139245, 24418.7726, 150.756492
206, 132926, 24417.2766, 150.747256
207, 126105, 24415.7807, 150.738021
208, 118828, 24414.2847, 150.728785
209, 111150, 24412.7888, 150.719549
210, 103126, 24411.2928, 150.710313
211, 94817, 24409.7969, 150.701078
212, 86286, 24408.3009, 150.691842
213, 77597, 24406.8049, 150.682606
214, 68815, 24405.3090, 150.673370
215, 60004, 24403.8130, 150.664135
216, 51229, 24402.3171, 150.654899
217, 42552, 24400.8211, 150.645663
218, 34032, 24399.3251, 150.636427
219, 25726, 24397.8292, 150.627192
220, 17687, 24396.3332, 150.617956
221, 9962, 24394.8373, 150.608720
222, 2595, 24393.3413, 150.599484
223, -4375, 24391.8453, 150.590249
224, -10916, 24390.3494, 150.581013
225, -17000, 24388.8534, 150.571777
226, -22606, 24387.3575, 150.562541
227, -27717, 24385.8615, 150.553306
228, -32321, 24384.3655, 150.544070
229, -36414, 24382.8696, 150.534834
230, -39995, 24381.3736, 150.525598
231, -43066, 24379.8777, 150.516363
232, -45635, 24378.3817, 150.507127
233, -47715, 24376.8857, 150.497891
234, -49318, 24375.3898, 150.488655
235, -50462, 24373.8938, 150.479420
236, -51167, 24372.3979, 150.470184
237, -51453, 24370.9019, 150.460948
238, -51343, 24369.4059, 150.451712
239, -50860, 24367.9100, 150.442477
240, -50027, 24366.4140, 150.433241
241, -48868, 24364.9181, 150.424005
242, -47408, 24363.4221, 150.414769
243, -45670, 24361.9261, 150.405534
244, -43676, 24360.4302, 150.396298
245, -41449, 24358.9342, 150.387062
246, -39012, 24357.4383, 150.377826
247, -36384, 24355.9423, 150.368591
248, -33588, 24354.4463, 150.359355
249, -30643, 24352.9504, 150.350119
250, -27570, 24351.4544, 150.340883
251, -24390, 24349.9585, 150.331648
252, -21122, 24348.4625, 150.322412
253, -17786, 24346.9665, 150.313176
254, -14405, 24345.4706, 150.303940
255, -10999, 24343.9746, 150.294705
256, -7591, 24342.4787, 150.285469
257, -4204, 24340.9827, 150.276233
258, -863, 24339.4867, 150.266997
259, 2409, 24337.9908, 150.257762
260, 5586, 24336.4948, 150.248526
261, 8641, 24334.9989, 150.239290
262, 11549, 24333.5029, 150.230054
263, 14283, 24332.0069, 150.220819
264, 16817, 24330.5110, 150.211583
265, 19127, 24329.0150, 150.202347
266, 21189, 24327.5191, 150.193111
267, 22980, 24326.0231, 150.183876
268, 24481, 24324.5271, 150.174640
269, 25677, 24323.0312, 150.165404
270, 26553, 24321.5352, 150.156168
271, 27101, 24320.0393, 150.146933
272, 27317, 24318.5433, 150.137697
273, 27201, 24317.0473, 150.128461
274, 26760, 24315.5514, 150.119225
275, 26006, 24314.0554, 150.109990
276, 24957, 24312.5595, 150.100754
277, 23638, 24311.0635, 150.091518
278, 22079, 24309.5675, 150.082282
279, 20317, 24308.0716, 150.073047
280, 18393, 24306.5756, 150.063811
281, 16356, 24305.0797, 150.054575
282, 14256, 24303.5837, 150.045339
283, 12150, 24302.0877, 150.036104
284, 10096, 24300.5918, 150.026868
285, 8154, 24299.0958, 150.017632
286, 6385, 24297.5999, 150.008396
287, 4850, 24296.1039, 149.999161
288, 3608, 24294.6079, 149.989925
289, 2715, 24293.1120, 149.980689
290, 2221, 24291.6160, 149.971453
291, 2172, 24290.1201, 149.962218
292, 2606, 24288.6241, 149.952982
293, 3554, 24287.1282, 149.943746
